No.     Time           Source                Destination           Protocol Info
      1 0.000000       172.17.32.142         42.62.69.169          TCP      50075 → https(443) [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=32 TSval=502917721 TSecr=0 SACK_PERM=1
      2 0.049757       42.62.69.169          172.17.32.142         TCP      https(443) → 50075 [SYN, ACK] Seq=0 Ack=1 Win=5792 Len=0 MSS=1460 SACK_PERM=1 TSval=3425042676 TSecr=502917721 WS=512
      3 0.049955       172.17.32.142         42.62.69.169          TCP      50075 → https(443) [ACK] Seq=1 Ack=1 Win=131744 Len=0 TSval=502917770 TSecr=3425042676
      4 0.052656       172.17.32.142         42.62.69.169          TLSv1.2  Client Hello
      5 0.121172       42.62.69.169          172.17.32.142         TCP      https(443) → 50075 [ACK] Seq=1 Ack=176 Win=7168 Len=0 TSval=3425042729 TSecr=502917772
      6 0.121178       42.62.69.169          172.17.32.142         TLSv1.2  Server Hello
      7 0.121179       42.62.69.169          172.17.32.142         TCP      [TCP segment of a reassembled PDU]
      8 0.121180       42.62.69.169          172.17.32.142         TLSv1.2  Certificate[TCP segment of a reassembled PDU]
      9 0.121181       42.62.69.169          172.17.32.142         TLSv1.2  Certificate Status, Server Key Exchange, Server Hello Done
     10 0.121261       172.17.32.142         42.62.69.169          TCP      50075 → https(443) [ACK] Seq=176 Ack=2897 Win=128864 Len=0 TSval=502917840 TSecr=3425042731
     11 0.121262       172.17.32.142         42.62.69.169          TCP      50075 → https(443) [ACK] Seq=176 Ack=4913 Win=126848 Len=0 TSval=502917840 TSecr=3425042731
     12 0.121305       172.17.32.142         42.62.69.169          TCP      [TCP Window Update] 50075 → https(443) [ACK] Seq=176 Ack=4913 Win=131072 Len=0 TSval=502917840 TSecr=3425042731
     13 0.298385       172.17.32.142         42.62.69.169          TLSv1.2  Client Key Exchange, Change Cipher Spec, Hello Request, Hello Request
     14 0.350160       42.62.69.169          172.17.32.142         TLSv1.2  Change Cipher Spec, Encrypted Handshake Message
     15 0.350223       172.17.32.142         42.62.69.169          TLSv1.2  Application Data
     16 0.402028       42.62.69.169          172.17.32.142         TLSv1.2  Application Data
     17 0.402040       42.62.69.169          172.17.32.142         TLSv1.2  Encrypted Alert
     18 0.402210       172.17.32.142         42.62.69.169          TCP      50075 → https(443) [ACK] Seq=482 Ack=5917 Win=130112 Len=0 TSval=502918118 TSecr=3425043026
     19 0.402214       172.17.32.142         42.62.69.169          TCP      50075 → https(443) [ACK] Seq=482 Ack=5949 Win=130080 Len=0 TSval=502918118 TSecr=3425043026
     20 0.407974       172.17.32.142         42.62.69.169          TCP      50075 → https(443) [FIN, ACK] Seq=482 Ack=5949 Win=131072 Len=0 TSval=502918123 TSecr=3425043026
     21 0.412593       172.17.32.142         42.62.69.169          TCP      50076 → https(443) [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=32 TSval=502918127 TSecr=0 SACK_PERM=1
     22 0.459273       42.62.69.169          172.17.32.142         TCP      https(443) → 50075 [ACK] Seq=5949 Ack=483 Win=8192 Len=0 TSval=3425043084 TSecr=502918123
     23 0.459278       42.62.69.169          172.17.32.142         TCP      https(443) → 50076 [SYN, ACK] Seq=0 Ack=1 Win=5792 Len=0 MSS=1460 SACK_PERM=1 TSval=3425043089 TSecr=502918127 WS=512
     24 0.459355       172.17.32.142         42.62.69.169          TCP      50076 → https(443) [ACK] Seq=1 Ack=1 Win=131744 Len=0 TSval=502918173 TSecr=3425043089
     25 0.461339       172.17.32.142         42.62.69.169          TLSv1.2  Client Hello
     26 0.510902       42.62.69.169          172.17.32.142         TCP      https(443) → 50076 [ACK] Seq=1 Ack=176 Win=7168 Len=0 TSval=3425043137 TSecr=502918174
     27 0.510907       42.62.69.169          172.17.32.142         TLSv1.2  Server Hello
     28 0.510908       42.62.69.169          172.17.32.142         TCP      [TCP segment of a reassembled PDU]
     29 0.511009       42.62.69.169          172.17.32.142         TLSv1.2  Certificate[TCP segment of a reassembled PDU]
     30 0.511011       42.62.69.169          172.17.32.142         TLSv1.2  Certificate Status, Server Key Exchange, Server Hello Done
     31 0.511020       172.17.32.142         42.62.69.169          TCP      50076 → https(443) [ACK] Seq=176 Ack=2897 Win=128864 Len=0 TSval=502918223 TSecr=3425043138
     32 0.511100       172.17.32.142         42.62.69.169          TCP      50076 → https(443) [ACK] Seq=176 Ack=4913 Win=129056 Len=0 TSval=502918223 TSecr=3425043138
     33 0.559701       172.17.32.142         42.62.69.169          TLSv1.2  Client Key Exchange, Change Cipher Spec, Hello Request, Hello Request
     34 0.609319       42.62.69.169          172.17.32.142         TLSv1.2  Change Cipher Spec, Encrypted Handshake Message
     35 0.609472       172.17.32.142         42.62.69.169          TLSv1.2  Application Data
     36 0.657854       42.62.69.169          172.17.32.142         TLSv1.2  Application Data
     37 0.657859       42.62.69.169          172.17.32.142         TLSv1.2  Encrypted Alert
     38 0.657923       172.17.32.142         42.62.69.169          TCP      50076 → https(443) [ACK] Seq=482 Ack=5917 Win=130112 Len=0 TSval=502918368 TSecr=3425043286
     39 0.657924       172.17.32.142         42.62.69.169          TCP      50076 → https(443) [ACK] Seq=482 Ack=5949 Win=130080 Len=0 TSval=502918368 TSecr=3425043286
     40 0.661869       172.17.32.142         42.62.69.169          TCP      50076 → https(443) [FIN, ACK] Seq=482 Ack=5949 Win=131072 Len=0 TSval=502918371 TSecr=3425043286
     41 0.710099       42.62.69.169          172.17.32.142         TCP      https(443) → 50076 [ACK] Seq=5949 Ack=483 Win=8192 Len=0 TSval=3425043339 TSecr=502918371
     42 0.725936       172.17.32.142         42.62.69.169          TCP      50077 → https(443) [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=32 TSval=502918433 TSecr=0 SACK_PERM=1
     43 0.774302       42.62.69.169          172.17.32.142         TCP      https(443) → 50077 [SYN, ACK] Seq=0 Ack=1 Win=5792 Len=0 MSS=1460 SACK_PERM=1 TSval=3425043403 TSecr=502918433 WS=512
     44 0.774380       172.17.32.142         42.62.69.169          TCP      50077 → https(443) [ACK] Seq=1 Ack=1 Win=131744 Len=0 TSval=502918481 TSecr=3425043403
     45 0.786804       172.17.32.142         42.62.69.169          TLSv1.2  Client Hello
     46 0.834990       42.62.69.169          172.17.32.142         TCP      https(443) → 50077 [ACK] Seq=1 Ack=176 Win=7168 Len=0 TSval=3425043463 TSecr=502918493
     47 0.834995       42.62.69.169          172.17.32.142         TLSv1.2  Server Hello
     48 0.834996       42.62.69.169          172.17.32.142         TCP      [TCP segment of a reassembled PDU]
     49 0.835095       172.17.32.142         42.62.69.169          TCP      50077 → https(443) [ACK] Seq=176 Ack=2897 Win=128864 Len=0 TSval=502918540 TSecr=3425043464
     50 0.836689       42.62.69.169          172.17.32.142         TLSv1.2  Certificate[TCP segment of a reassembled PDU]
     51 0.836693       42.62.69.169          172.17.32.142         TLSv1.2  Certificate Status, Server Key Exchange, Server Hello Done
     52 0.836758       172.17.32.142         42.62.69.169          TCP      50077 → https(443) [ACK] Seq=176 Ack=4913 Win=129056 Len=0 TSval=502918541 TSecr=3425043464
     53 0.918100       172.17.32.142         42.62.69.169          TLSv1.2  Client Key Exchange, Change Cipher Spec, Hello Request, Hello Request
     54 0.967985       42.62.69.169          172.17.32.142         TLSv1.2  Change Cipher Spec, Encrypted Handshake Message
     55 0.968072       172.17.32.142         42.62.69.169          TLSv1.2  Application Data
     56 1.017943       42.62.69.169          172.17.32.142         TLSv1.2  Application Data
     57 1.017954       42.62.69.169          172.17.32.142         TLSv1.2  Encrypted Alert
     58 1.018051       172.17.32.142         42.62.69.169          TCP      50077 → https(443) [ACK] Seq=482 Ack=5917 Win=130112 Len=0 TSval=502918720 TSecr=3425043646
     59 1.018109       172.17.32.142         42.62.69.169          TCP      50077 → https(443) [ACK] Seq=482 Ack=5949 Win=130080 Len=0 TSval=502918720 TSecr=3425043646
     60 1.051116       172.17.32.142         42.62.69.169          TCP      50077 → https(443) [FIN, ACK] Seq=482 Ack=5949 Win=131072 Len=0 TSval=502918753 TSecr=3425043646
     61 1.053944       172.17.32.142         42.62.69.169          TCP      50078 → https(443) [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=32 TSval=502918755 TSecr=0 SACK_PERM=1
     62 1.100345       42.62.69.169          172.17.32.142         TCP      https(443) → 50077 [ACK] Seq=5949 Ack=483 Win=8192 Len=0 TSval=3425043727 TSecr=502918753
     63 1.103346       42.62.69.169          172.17.32.142         TCP      https(443) → 50078 [SYN, ACK] Seq=0 Ack=1 Win=5792 Len=0 MSS=1460 SACK_PERM=1 TSval=3425043731 TSecr=502918755 WS=512
     64 1.103418       172.17.32.142         42.62.69.169          TCP      50078 → https(443) [ACK] Seq=1 Ack=1 Win=131744 Len=0 TSval=502918803 TSecr=3425043731
     65 1.105730       172.17.32.142         42.62.69.169          TLSv1.2  Client Hello
     66 1.160346       42.62.69.169          172.17.32.142         TCP      https(443) → 50078 [ACK] Seq=1 Ack=176 Win=7168 Len=0 TSval=3425043787 TSecr=502918805
     67 1.169185       42.62.69.169          172.17.32.142         TLSv1.2  Server Hello
     68 1.169190       42.62.69.169          172.17.32.142         TCP      [TCP segment of a reassembled PDU]
     69 1.169247       172.17.32.142         42.62.69.169          TCP      50078 → https(443) [ACK] Seq=176 Ack=2897 Win=128864 Len=0 TSval=502918866 TSecr=3425043788
     70 1.171819       42.62.69.169          172.17.32.142         TLSv1.2  Certificate[TCP segment of a reassembled PDU]
     71 1.171828       42.62.69.169          172.17.32.142         TLSv1.2  Certificate Status, Server Key Exchange, Server Hello Done
     72 1.171901       172.17.32.142         42.62.69.169          TCP      50078 → https(443) [ACK] Seq=176 Ack=4913 Win=129056 Len=0 TSval=502918868 TSecr=3425043788
     73 1.232000       172.17.32.142         42.62.69.169          TLSv1.2  Client Key Exchange, Change Cipher Spec, Hello Request, Hello Request
     74 1.283375       42.62.69.169          172.17.32.142         TLSv1.2  Change Cipher Spec, Encrypted Handshake Message
     75 1.283435       172.17.32.142         42.62.69.169          TLSv1.2  Application Data
     76 1.334339       42.62.69.169          172.17.32.142         TLSv1.2  Application Data
     77 1.334344       42.62.69.169          172.17.32.142         TLSv1.2  Encrypted Alert
     78 1.334411       172.17.32.142         42.62.69.169          TCP      50078 → https(443) [ACK] Seq=482 Ack=5917 Win=130112 Len=0 TSval=502919029 TSecr=3425043961
     79 1.334411       172.17.32.142         42.62.69.169          TCP      50078 → https(443) [ACK] Seq=482 Ack=5949 Win=130080 Len=0 TSval=502919029 TSecr=3425043961
     80 1.336326       172.17.32.142         42.62.69.169          TCP      50078 → https(443) [FIN, ACK] Seq=482 Ack=5949 Win=131072 Len=0 TSval=502919030 TSecr=3425043961
     81 1.338354       172.17.32.142         42.62.69.169          TCP      50079 → https(443) [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=32 TSval=502919031 TSecr=0 SACK_PERM=1
     82 1.388337       42.62.69.169          172.17.32.142         TCP      https(443) → 50078 [ACK] Seq=5949 Ack=483 Win=8192 Len=0 TSval=3425044014 TSecr=502919030
