No.     Time           Source                Destination           Protocol Info
      1 0.000000       172.17.32.142         27.148.145.195        TCP      56063 → https(443) [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=32 TSval=663685980 TSecr=0 SACK_PERM=1
      2 0.015949       27.148.145.195        172.17.32.142         TCP      https(443) → 56063 [SYN, ACK] Seq=0 Ack=1 Win=14600 Len=0 MSS=1460 SACK_PERM=1 WS=128
      3 0.016031       172.17.32.142         27.148.145.195        TCP      56063 → https(443) [ACK] Seq=1 Ack=1 Win=262144 Len=0
      4 0.018201       172.17.32.142         27.148.145.195        TLSv1.2  Client Hello
      5 0.030358       27.148.145.195        172.17.32.142         TLSv1.2  Server Hello
      6 0.030667       27.148.145.195        172.17.32.142         TCP      [TCP segment of a reassembled PDU]
      7 0.030749       172.17.32.142         27.148.145.195        TCP      56063 → https(443) [ACK] Seq=518 Ack=2921 Win=260672 Len=0
      8 0.032047       27.148.145.195        172.17.32.142         TLSv1.2  Certificate[TCP segment of a reassembled PDU]
      9 0.032225       172.17.32.142         27.148.145.195        TCP      56063 → https(443) [ACK] Seq=518 Ack=4097 Win=260960 Len=0
     10 0.034284       27.148.145.195        172.17.32.142         TCP      https(443) → 56063 [ACK] Seq=1 Ack=518 Win=15744 Len=0
     11 0.034354       172.17.32.142         27.148.145.195        TCP      [TCP Window Update] 56063 → https(443) [ACK] Seq=518 Ack=4097 Win=262144 Len=0
     12 0.035291       27.148.145.195        172.17.32.142         TLSv1.2  Certificate Status, Server Key Exchange, Server Hello Done
     13 0.035346       172.17.32.142         27.148.145.195        TCP      56063 → https(443) [ACK] Seq=518 Ack=4746 Win=261472 Len=0
     14 0.115794       172.17.32.142         27.148.145.195        TLSv1.2  Client Key Exchange, Change Cipher Spec, Hello Request, Hello Request
     15 0.132842       27.148.145.195        172.17.32.142         TLSv1.2  New Session Ticket, Change Cipher Spec, Encrypted Handshake Message
     16 0.132906       172.17.32.142         27.148.145.195        TCP      56063 → https(443) [ACK] Seq=644 Ack=4988 Win=261888 Len=0
     17 0.141036       172.17.32.142         27.148.145.195        TLSv1.2  Application Data
     18 0.196604       172.17.32.142         27.148.145.195        TCP      [TCP Retransmission] 56063 → https(443) [PSH, ACK] Seq=644 Ack=4988 Win=262144 Len=142
     19 0.202050       27.148.145.195        172.17.32.142         TCP      https(443) → 56063 [ACK] Seq=4988 Ack=786 Win=16768 Len=0
     20 0.214147       27.148.145.195        172.17.32.142         TCP      [TCP Dup ACK 19#1] https(443) → 56063 [ACK] Seq=4988 Ack=786 Win=16768 Len=0 SLE=644 SRE=786
     21 0.323425       27.148.145.195        172.17.32.142         TLSv1.2  Application Data
     22 0.323475       172.17.32.142         27.148.145.195        TCP      56063 → https(443) [ACK] Seq=786 Ack=5361 Win=261760 Len=0
     23 0.325017       27.148.145.195        172.17.32.142         TLSv1.2  Application Data
     24 0.325065       172.17.32.142         27.148.145.195        TCP      56063 → https(443) [ACK] Seq=786 Ack=5462 Win=262016 Len=0
     25 0.325409       27.148.145.195        172.17.32.142         TLSv1.2  Encrypted Alert
     26 0.325446       172.17.32.142         27.148.145.195        TCP      56063 → https(443) [ACK] Seq=786 Ack=5493 Win=262112 Len=0
     27 0.326727       27.148.145.195        172.17.32.142         TCP      https(443) → 56063 [FIN, ACK] Seq=5493 Ack=786 Win=16768 Len=0
     28 0.326790       172.17.32.142         27.148.145.195        TCP      56063 → https(443) [ACK] Seq=786 Ack=5494 Win=262144 Len=0
     29 0.333642       172.17.32.142         27.148.145.195        TLSv1.2  Encrypted Alert
     30 0.334014       172.17.32.142         27.148.145.195        TCP      56063 → https(443) [FIN, ACK] Seq=817 Ack=5494 Win=262144 Len=0
     31 0.346654       27.148.145.195        172.17.32.142         TCP      https(443) → 56063 [RST] Seq=5494 Win=0 Len=0
     32 0.347371       27.148.145.195        172.17.32.142         TCP      https(443) → 56063 [RST] Seq=5494 Win=0 Len=0
     33 0.639470       172.17.32.142         106.122.254.22        TCP      56064 → https(443) [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=32 TSval=663686610 TSecr=0 SACK_PERM=1
     34 0.655056       106.122.254.22        172.17.32.142         TCP      https(443) → 56064 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460 SACK_PERM=1 WS=128
     35 0.655156       172.17.32.142         106.122.254.22        TCP      56064 → https(443) [ACK] Seq=1 Ack=1 Win=262144 Len=0
     36 0.657191       172.17.32.142         106.122.254.22        TLSv1.2  Client Hello
     37 0.671151       106.122.254.22        172.17.32.142         TCP      https(443) → 56064 [ACK] Seq=1 Ack=518 Win=176768 Len=0
     38 0.672589       106.122.254.22        172.17.32.142         TLSv1.2  Server Hello, Change Cipher Spec, Encrypted Handshake Message
     39 0.672661       172.17.32.142         106.122.254.22        TCP      56064 → https(443) [ACK] Seq=518 Ack=138 Win=261984 Len=0
     40 0.673784       172.17.32.142         106.122.254.22        TLSv1.2  Change Cipher Spec, Hello Request, Hello Request
     41 0.728801       106.122.254.22        172.17.32.142         TCP      https(443) → 56064 [ACK] Seq=138 Ack=569 Win=176768 Len=0
     42 0.728879       172.17.32.142         106.122.254.22        TLSv1.2  Application Data
     43 0.745159       106.122.254.22        172.17.32.142         TCP      https(443) → 56064 [ACK] Seq=138 Ack=711 Win=182528 Len=0
     44 0.782405       106.122.254.22        172.17.32.142         TLSv1.2  Application Data
     45 0.782450       172.17.32.142         106.122.254.22        TCP      56064 → https(443) [ACK] Seq=711 Ack=512 Win=261760 Len=0
     46 0.782797       106.122.254.22        172.17.32.142         TLSv1.2  Application Data
     47 0.782838       172.17.32.142         106.122.254.22        TCP      56064 → https(443) [ACK] Seq=711 Ack=613 Win=262016 Len=0
     48 0.783536       106.122.254.22        172.17.32.142         TLSv1.2  Encrypted Alert
     49 0.783590       172.17.32.142         106.122.254.22        TCP      56064 → https(443) [ACK] Seq=711 Ack=644 Win=262112 Len=0
     50 0.784682       106.122.254.22        172.17.32.142         TCP      https(443) → 56064 [FIN, ACK] Seq=644 Ack=711 Win=182528 Len=0
     51 0.784744       172.17.32.142         106.122.254.22        TCP      56064 → https(443) [ACK] Seq=711 Ack=645 Win=262144 Len=0
     52 0.788520       172.17.32.142         106.122.254.22        TLSv1.2  Encrypted Alert
     53 0.788842       172.17.32.142         106.122.254.22        TCP      56064 → https(443) [FIN, ACK] Seq=742 Ack=645 Win=262144 Len=0
     54 0.805809       106.122.254.22        172.17.32.142         TCP      https(443) → 56064 [RST] Seq=645 Win=0 Len=0
     55 0.807666       106.122.254.22        172.17.32.142         TCP      https(443) → 56064 [RST] Seq=645 Win=0 Len=0
     56 1.092885       172.17.32.142         27.148.145.195        TCP      56065 → https(443) [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=32 TSval=663687056 TSecr=0 SACK_PERM=1
     57 1.105713       27.148.145.195        172.17.32.142         TCP      https(443) → 56065 [SYN, ACK] Seq=0 Ack=1 Win=14600 Len=0 MSS=1460 SACK_PERM=1 WS=128
     58 1.105777       172.17.32.142         27.148.145.195        TCP      56065 → https(443) [ACK] Seq=1 Ack=1 Win=262144 Len=0
     59 1.107499       172.17.32.142         27.148.145.195        TLSv1.2  Client Hello
     60 1.123567       27.148.145.195        172.17.32.142         TCP      https(443) → 56065 [ACK] Seq=1 Ack=518 Win=15744 Len=0
     61 1.130913       27.148.145.195        172.17.32.142         TLSv1.2  Server Hello, Change Cipher Spec, Encrypted Handshake Message
     62 1.131148       172.17.32.142         27.148.145.195        TCP      56065 → https(443) [ACK] Seq=518 Ack=142 Win=261984 Len=0
     63 1.133669       172.17.32.142         27.148.145.195        TLSv1.2  Change Cipher Spec, Hello Request, Hello Request
     64 1.141534       27.148.145.195        172.17.32.142         TLSv1.2  [TCP Spurious Retransmission] , Server Hello, Change Cipher Spec, Encrypted Handshake Message
     65 1.141806       172.17.32.142         27.148.145.195        TCP      [TCP Dup ACK 62#1] 56065 → https(443) [ACK] Seq=569 Ack=142 Win=262144 Len=0 SLE=1 SRE=142
     66 1.188493       27.148.145.195        172.17.32.142         TCP      https(443) → 56065 [ACK] Seq=142 Ack=569 Win=15744 Len=0
     67 1.188612       172.17.32.142         27.148.145.195        TLSv1.2  Application Data
     68 1.207729       27.148.145.195        172.17.32.142         TCP      https(443) → 56065 [ACK] Seq=142 Ack=711 Win=16768 Len=0
     69 1.240776       27.148.145.195        172.17.32.142         TLSv1.2  Application Data
     70 1.240844       172.17.32.142         27.148.145.195        TCP      56065 → https(443) [ACK] Seq=711 Ack=515 Win=261760 Len=0
     71 1.241208       27.148.145.195        172.17.32.142         TLSv1.2  Application Data
     72 1.241244       172.17.32.142         27.148.145.195        TCP      56065 → https(443) [ACK] Seq=711 Ack=616 Win=262016 Len=0
     73 1.242978       27.148.145.195        172.17.32.142         TLSv1.2  Encrypted Alert
     74 1.243031       172.17.32.142         27.148.145.195        TCP      56065 → https(443) [ACK] Seq=711 Ack=647 Win=262112 Len=0
     75 1.243896       27.148.145.195        172.17.32.142         TCP      https(443) → 56065 [FIN, ACK] Seq=647 Ack=711 Win=16768 Len=0
     76 1.243948       172.17.32.142         27.148.145.195        TCP      56065 → https(443) [ACK] Seq=711 Ack=648 Win=262144 Len=0
     77 1.246919       172.17.32.142         27.148.145.195        TLSv1.2  Encrypted Alert
     78 1.247305       172.17.32.142         27.148.145.195        TCP      56065 → https(443) [FIN, ACK] Seq=742 Ack=648 Win=262144 Len=0
     79 1.259116       27.148.145.195        172.17.32.142         TCP      https(443) → 56065 [RST] Seq=648 Win=0 Len=0
     80 1.260211       27.148.145.195        172.17.32.142         TCP      https(443) → 56065 [RST] Seq=648 Win=0 Len=0
     81 1.556828       172.17.32.142         106.122.254.22        TCP      56066 → https(443) [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=32 TSval=663687508 TSecr=0 SACK_PERM=1
     82 1.573379       106.122.254.22        172.17.32.142         TCP      https(443) → 56066 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460 SACK_PERM=1 WS=128
     83 1.573461       172.17.32.142         106.122.254.22        TCP      56066 → https(443) [ACK] Seq=1 Ack=1 Win=262144 Len=0
     84 1.577545       172.17.32.142         106.122.254.22        TLSv1.2  Client Hello
     85 1.592526       106.122.254.22        172.17.32.142         TCP      https(443) → 56066 [ACK] Seq=1 Ack=518 Win=176768 Len=0
     86 1.600851       106.122.254.22        172.17.32.142         TLSv1.2  Server Hello, Change Cipher Spec, Encrypted Handshake Message
     87 1.600909       172.17.32.142         106.122.254.22        TCP      56066 → https(443) [ACK] Seq=518 Ack=138 Win=261984 Len=0
     88 1.601740       172.17.32.142         106.122.254.22        TLSv1.2  Change Cipher Spec, Hello Request, Hello Request
     89 1.614990       106.122.254.22        172.17.32.142         TLSv1.2  [TCP Spurious Retransmission] , Server Hello, Change Cipher Spec, Encrypted Handshake Message
     90 1.615037       172.17.32.142         106.122.254.22        TLSv1.2  Application Data
     91 1.645000       106.122.254.22        172.17.32.142         TCP      https(443) → 56066 [ACK] Seq=138 Ack=711 Win=182528 Len=0
     92 1.679523       106.122.254.22        172.17.32.142         TLSv1.2  Application Data
     93 1.679615       172.17.32.142         106.122.254.22        TCP      56066 → https(443) [ACK] Seq=711 Ack=512 Win=261760 Len=0
     94 1.680139       106.122.254.22        172.17.32.142         TLSv1.2  Application Data
     95 1.680209       172.17.32.142         106.122.254.22        TCP      56066 → https(443) [ACK] Seq=711 Ack=613 Win=262016 Len=0
     96 1.681261       106.122.254.22        172.17.32.142         TLSv1.2  Encrypted Alert
     97 1.681356       172.17.32.142         106.122.254.22        TCP      56066 → https(443) [ACK] Seq=711 Ack=644 Win=262112 Len=0
     98 1.682515       106.122.254.22        172.17.32.142         TCP      https(443) → 56066 [FIN, ACK] Seq=644 Ack=711 Win=182528 Len=0
     99 1.682578       172.17.32.142         106.122.254.22        TCP      56066 → https(443) [ACK] Seq=711 Ack=645 Win=262144 Len=0
    100 1.689041       172.17.32.142         106.122.254.22        TLSv1.2  Encrypted Alert
    101 1.689776       172.17.32.142         106.122.254.22        TCP      56066 → https(443) [FIN, ACK] Seq=742 Ack=645 Win=262144 Len=0
    102 1.698283       106.122.254.22        172.17.32.142         TCP      https(443) → 56066 [RST] Seq=645 Win=0 Len=0
    103 1.705845       106.122.254.22        172.17.32.142         TCP      https(443) → 56066 [RST] Seq=645 Win=0 Len=0
    104 1.994112       172.17.32.142         27.148.145.195        TCP      56068 → https(443) [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=32 TSval=663687936 TSecr=0 SACK_PERM=1
    105 2.007757       27.148.145.195        172.17.32.142         TCP      https(443) → 56068 [SYN, ACK] Seq=0 Ack=1 Win=14600 Len=0 MSS=1460 SACK_PERM=1 WS=128
    106 2.007855       172.17.32.142         27.148.145.195        TCP      56068 → https(443) [ACK] Seq=1 Ack=1 Win=262144 Len=0
    107 2.011103       172.17.32.142         27.148.145.195        TLSv1.2  Client Hello
    108 2.023242       27.148.145.195        172.17.32.142         TLSv1.2  Server Hello, Change Cipher Spec, Encrypted Handshake Message
    109 2.023625       172.17.32.142         27.148.145.195        TCP      56068 → https(443) [ACK] Seq=518 Ack=142 Win=261984 Len=0
    110 2.026029       27.148.145.195        172.17.32.142         TCP      https(443) → 56068 [ACK] Seq=1 Ack=518 Win=15744 Len=0
    111 2.026206       172.17.32.142         27.148.145.195        TCP      [TCP Window Update] 56068 → https(443) [ACK] Seq=518 Ack=142 Win=262144 Len=0
    112 2.028407       172.17.32.142         27.148.145.195        TLSv1.2  Change Cipher Spec, Hello Request, Hello Request
    113 2.083489       27.148.145.195        172.17.32.142         TCP      https(443) → 56068 [ACK] Seq=142 Ack=569 Win=15744 Len=0
    114 2.083539       172.17.32.142         27.148.145.195        TLSv1.2  Application Data
    115 2.100148       27.148.145.195        172.17.32.142         TCP      https(443) → 56068 [ACK] Seq=142 Ack=711 Win=16768 Len=0
    116 2.141593       27.148.145.195        172.17.32.142         TLSv1.2  Application Data
    117 2.141682       172.17.32.142         27.148.145.195        TCP      56068 → https(443) [ACK] Seq=711 Ack=515 Win=261760 Len=0
    118 2.145230       27.148.145.195        172.17.32.142         TLSv1.2  Application Data
    119 2.145295       172.17.32.142         27.148.145.195        TCP      56068 → https(443) [ACK] Seq=711 Ack=616 Win=262016 Len=0
    120 2.148158       27.148.145.195        172.17.32.142         TLSv1.2  Encrypted Alert
    121 2.148206       172.17.32.142         27.148.145.195        TCP      56068 → https(443) [ACK] Seq=711 Ack=647 Win=262112 Len=0
