No.     Time           Source                Destination           Protocol Length Info
      1 0.000000       172.16.20.51          120.24.48.119         TCP      74     33872 → cvc_hostd(442) [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM=1 TSval=20267822 TSecr=0 WS=64
      2 0.013935       120.24.48.119         172.16.20.51          TCP      74     cvc_hostd(442) → 33872 [SYN, ACK] Seq=0 Ack=1 Win=28960 Len=0 MSS=1460 SACK_PERM=1 TSval=3846219290 TSecr=20267822 WS=128
      3 0.016760       172.16.20.51          120.24.48.119         TCP      66     33872 → cvc_hostd(442) [ACK] Seq=1 Ack=1 Win=87616 Len=0 TSval=20267825 TSecr=3846219290
      4 0.030272       172.16.20.51          120.24.48.119         TLSv1.2  288    Client Hello
      5 0.043974       120.24.48.119         172.16.20.51          TCP      66     cvc_hostd(442) → 33872 [ACK] Seq=1 Ack=223 Win=30080 Len=0 TSval=3846219320 TSecr=20267827
      6 0.046498       120.24.48.119         172.16.20.51          TLSv1.2  1514   Server Hello, Certificate
      7 0.046500       120.24.48.119         172.16.20.51          TLSv1.2  345    Server Key Exchange, Server Hello Done
      8 0.048132       172.16.20.51          120.24.48.119         TCP      66     33872 → cvc_hostd(442) [ACK] Seq=223 Ack=1449 Win=90496 Len=0 TSval=20267828 TSecr=3846219322
      9 0.048146       172.16.20.51          120.24.48.119         TCP      66     33872 → cvc_hostd(442) [ACK] Seq=223 Ack=1728 Win=93440 Len=0 TSval=20267828 TSecr=3846219322
     10 0.058327       172.16.20.51          120.24.48.119         TLSv1.2  192    Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message
     11 0.073897       120.24.48.119         172.16.20.51          TLSv1.2  117    Change Cipher Spec, Encrypted Handshake Message
     12 0.073899       120.24.48.119         172.16.20.51          TLSv1.2  135    Application Data
     13 0.088783       172.16.20.51          120.24.48.119         TLSv1.2  119    Application Data
     14 0.144111       120.24.48.119         172.16.20.51          TCP      66     cvc_hostd(442) → 33872 [ACK] Seq=1848 Ack=402 Win=30080 Len=0 TSval=3846219419 TSecr=20267832
     15 0.145477       172.16.20.51          120.24.48.119         TLSv1.2  264    Application Data, Application Data, Application Data, Application Data
     16 0.160727       120.24.48.119         172.16.20.51          TCP      66     cvc_hostd(442) → 33872 [ACK] Seq=1848 Ack=600 Win=31104 Len=0 TSval=3846219435 TSecr=20267838
     17 0.160733       120.24.48.119         172.16.20.51          TLSv1.2  221    Application Data
     18 0.160736       120.24.48.119         172.16.20.51          TLSv1.2  716    Application Data
