No.     Time           Source                Destination           Protocol Length Info
      1 0.000000       172.16.20.51          120.24.48.119         TCP      74     45363 → sgcp(440) [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM=1 TSval=20267851 TSecr=0 WS=64
      2 0.018339       120.24.48.119         172.16.20.51          TCP      74     sgcp(440) → 45363 [SYN, ACK] Seq=0 Ack=1 Win=28960 Len=0 MSS=1460 SACK_PERM=1 TSval=3846219564 TSecr=20267851 WS=128
      3 0.021447       172.16.20.51          120.24.48.119         TCP      66     45363 → sgcp(440) [ACK] Seq=1 Ack=1 Win=87616 Len=0 TSval=20267853 TSecr=3846219564
      4 0.024186       172.16.20.51          120.24.48.119         TLSv1.2  288    Client Hello
      5 0.042959       120.24.48.119         172.16.20.51          TCP      66     sgcp(440) → 45363 [ACK] Seq=1 Ack=223 Win=30080 Len=0 TSval=3846219588 TSecr=20267853
      6 0.045198       120.24.48.119         172.16.20.51          TLSv1.2  1514   Server Hello, Certificate
      7 0.045201       120.24.48.119         172.16.20.51          TLSv1.2  351    Server Key Exchange, Server Hello Done
      8 0.061325       172.16.20.51          120.24.48.119         TCP      66     45363 → sgcp(440) [ACK] Seq=223 Ack=1449 Win=90496 Len=0 TSval=20267857 TSecr=3846219589
      9 0.062391       172.16.20.51          120.24.48.119         TCP      66     45363 → sgcp(440) [ACK] Seq=223 Ack=1734 Win=93440 Len=0 TSval=20267857 TSecr=3846219589
     10 0.072341       172.16.20.51          120.24.48.119         TLSv1.2  192    Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message
     11 0.090923       120.24.48.119         172.16.20.51          TLSv1.2  117    Change Cipher Spec, Encrypted Handshake Message
     12 0.096252       172.16.20.51          120.24.48.119         TLSv1.2  218    Application Data
     13 0.115285       120.24.48.119         172.16.20.51          TLSv1.2  940    Application Data
     14 0.115301       120.24.48.119         172.16.20.51          TLSv1.2  97     Encrypted Alert
     15 0.120076       172.16.20.51          120.24.48.119         TLSv1.2  97     Encrypted Alert
     16 0.120108       172.16.20.51          120.24.48.119         TCP      66     45363 → sgcp(440) [RST, ACK] Seq=532 Ack=2691 Win=96320 Len=0 TSval=20267863 TSecr=3846219660
     17 0.401495       172.16.20.51          120.24.48.119         TCP      74     41336 → sgcp(440) [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM=1 TSval=20267891 TSecr=0 WS=64
     18 0.419981       120.24.48.119         172.16.20.51          TCP      74     sgcp(440) → 41336 [SYN, ACK] Seq=0 Ack=1 Win=28960 Len=0 MSS=1460 SACK_PERM=1 TSval=3846219970 TSecr=20267891 WS=128
     19 0.421401       172.16.20.51          120.24.48.119         TCP      66     41336 → sgcp(440) [ACK] Seq=1 Ack=1 Win=87616 Len=0 TSval=20267893 TSecr=3846219970
     20 0.423197       172.16.20.51          120.24.48.119         TLSv1.2  288    Client Hello
     21 0.441884       120.24.48.119         172.16.20.51          TCP      66     sgcp(440) → 41336 [ACK] Seq=1 Ack=223 Win=30080 Len=0 TSval=3846219992 TSecr=20267893
     22 0.444036       120.24.48.119         172.16.20.51          TLSv1.2  1514   Server Hello, Certificate
     23 0.444039       120.24.48.119         172.16.20.51          TLSv1.2  351    Server Key Exchange, Server Hello Done
     24 0.445453       172.16.20.51          120.24.48.119         TCP      66     41336 → sgcp(440) [ACK] Seq=223 Ack=1449 Win=90496 Len=0 TSval=20267896 TSecr=3846219994
     25 0.445461       172.16.20.51          120.24.48.119         TCP      66     41336 → sgcp(440) [ACK] Seq=223 Ack=1734 Win=93440 Len=0 TSval=20267896 TSecr=3846219994
     26 0.456387       172.16.20.51          120.24.48.119         TLSv1.2  192    Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message
     27 0.476026       120.24.48.119         172.16.20.51          TLSv1.2  117    Change Cipher Spec, Encrypted Handshake Message
     28 0.486615       172.16.20.51          120.24.48.119         TLSv1.2  218    Application Data
     29 0.505992       120.24.48.119         172.16.20.51          TLSv1.2  940    Application Data
     30 0.505994       120.24.48.119         172.16.20.51          TLSv1.2  97     Encrypted Alert
     31 0.507810       172.16.20.51          120.24.48.119         TLSv1.2  97     Encrypted Alert
     32 0.508292       172.16.20.51          120.24.48.119         TCP      66     41336 → sgcp(440) [RST, ACK] Seq=532 Ack=2691 Win=96320 Len=0 TSval=20267902 TSecr=3846220056
     33 0.794777       172.16.20.51          120.24.48.119         TCP      74     36115 → sgcp(440) [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM=1 TSval=20267930 TSecr=0 WS=64
     34 0.819053       120.24.48.119         172.16.20.51          TCP      74     sgcp(440) → 36115 [SYN, ACK] Seq=0 Ack=1 Win=28960 Len=0 MSS=1460 SACK_PERM=1 TSval=3846220364 TSecr=20267930 WS=128
     35 0.820655       172.16.20.51          120.24.48.119         TCP      66     36115 → sgcp(440) [ACK] Seq=1 Ack=1 Win=87616 Len=0 TSval=20267933 TSecr=3846220364
     36 0.828535       172.16.20.51          120.24.48.119         TLSv1.2  288    Client Hello
     37 0.852994       120.24.48.119         172.16.20.51          TCP      66     sgcp(440) → 36115 [ACK] Seq=1 Ack=223 Win=30080 Len=0 TSval=3846220397 TSecr=20267933
     38 0.854976       120.24.48.119         172.16.20.51          TLSv1.2  1514   Server Hello, Certificate
     39 0.854987       120.24.48.119         172.16.20.51          TLSv1.2  351    Server Key Exchange, Server Hello Done
     40 0.865956       172.16.20.51          120.24.48.119         TCP      66     36115 → sgcp(440) [ACK] Seq=223 Ack=1449 Win=90496 Len=0 TSval=20267937 TSecr=3846220399
     41 0.866847       172.16.20.51          120.24.48.119         TCP      66     36115 → sgcp(440) [ACK] Seq=223 Ack=1734 Win=93440 Len=0 TSval=20267938 TSecr=3846220399
     42 0.890683       172.16.20.51          120.24.48.119         TLSv1.2  192    Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message
     43 0.915950       120.24.48.119         172.16.20.51          TLSv1.2  117    Change Cipher Spec, Encrypted Handshake Message
     44 0.921542       172.16.20.51          120.24.48.119         TLSv1.2  218    Application Data
     45 0.945970       120.24.48.119         172.16.20.51          TLSv1.2  940    Application Data
     46 0.945975       120.24.48.119         172.16.20.51          TLSv1.2  97     Encrypted Alert
     47 0.948767       172.16.20.51          120.24.48.119         TLSv1.2  97     Encrypted Alert
     48 0.948772       172.16.20.51          120.24.48.119         TCP      66     36115 → sgcp(440) [RST, ACK] Seq=532 Ack=2691 Win=96320 Len=0 TSval=20267946 TSecr=3846220490
     49 1.217179       172.16.20.51          120.24.48.119         TCP      74     38151 → sgcp(440) [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM=1 TSval=20267973 TSecr=0 WS=64
     50 1.236184       120.24.48.119         172.16.20.51          TCP      74     sgcp(440) → 38151 [SYN, ACK] Seq=0 Ack=1 Win=28960 Len=0 MSS=1460 SACK_PERM=1 TSval=3846220782 TSecr=20267973 WS=128
     51 1.237682       172.16.20.51          120.24.48.119         TCP      66     38151 → sgcp(440) [ACK] Seq=1 Ack=1 Win=87616 Len=0 TSval=20267975 TSecr=3846220782
     52 1.239321       172.16.20.51          120.24.48.119         TLSv1.2  288    Client Hello
     53 1.259693       120.24.48.119         172.16.20.51          TCP      66     sgcp(440) → 38151 [ACK] Seq=1 Ack=223 Win=30080 Len=0 TSval=3846220804 TSecr=20267975
     54 1.260941       120.24.48.119         172.16.20.51          TLSv1.2  1514   Server Hello, Certificate
     55 1.260944       120.24.48.119         172.16.20.51          TLSv1.2  351    Server Key Exchange, Server Hello Done
     56 1.262277       172.16.20.51          120.24.48.119         TCP      66     38151 → sgcp(440) [ACK] Seq=223 Ack=1449 Win=90496 Len=0 TSval=20267977 TSecr=3846220805
     57 1.262282       172.16.20.51          120.24.48.119         TCP      66     38151 → sgcp(440) [ACK] Seq=223 Ack=1734 Win=93440 Len=0 TSval=20267977 TSecr=3846220805
     58 1.273196       172.16.20.51          120.24.48.119         TLSv1.2  192    Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message
     59 1.293730       120.24.48.119         172.16.20.51          TLSv1.2  117    Change Cipher Spec, Encrypted Handshake Message
     60 1.306987       172.16.20.51          120.24.48.119         TLSv1.2  218    Application Data
     61 1.325975       120.24.48.119         172.16.20.51          TLSv1.2  940    Application Data
     62 1.327142       120.24.48.119         172.16.20.51          TLSv1.2  97     Encrypted Alert
     63 1.339637       172.16.20.51          120.24.48.119         TLSv1.2  97     Encrypted Alert
     64 1.340095       172.16.20.51          120.24.48.119         TCP      66     38151 → sgcp(440) [RST, ACK] Seq=532 Ack=2691 Win=96320 Len=0 TSval=20267985 TSecr=3846220871
     65 1.605328       172.16.20.51          120.24.48.119         TCP      74     34063 → sgcp(440) [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM=1 TSval=20268011 TSecr=0 WS=64
     66 1.623919       120.24.48.119         172.16.20.51          TCP      74     sgcp(440) → 34063 [SYN, ACK] Seq=0 Ack=1 Win=28960 Len=0 MSS=1460 SACK_PERM=1 TSval=3846221174 TSecr=20268011 WS=128
     67 1.625919       172.16.20.51          120.24.48.119         TCP      66     34063 → sgcp(440) [ACK] Seq=1 Ack=1 Win=87616 Len=0 TSval=20268014 TSecr=3846221174
     68 1.627760       172.16.20.51          120.24.48.119         TLSv1.2  288    Client Hello
     69 1.646994       120.24.48.119         172.16.20.51          TCP      66     sgcp(440) → 34063 [ACK] Seq=1 Ack=223 Win=30080 Len=0 TSval=3846221196 TSecr=20268014
     70 1.648908       120.24.48.119         172.16.20.51          TLSv1.2  1514   Server Hello, Certificate
     71 1.648911       120.24.48.119         172.16.20.51          TLSv1.2  351    Server Key Exchange, Server Hello Done
     72 1.652144       172.16.20.51          120.24.48.119         TCP      66     34063 → sgcp(440) [ACK] Seq=223 Ack=1449 Win=90496 Len=0 TSval=20268016 TSecr=3846221198
     73 1.652149       172.16.20.51          120.24.48.119         TCP      66     34063 → sgcp(440) [ACK] Seq=223 Ack=1734 Win=93440 Len=0 TSval=20268016 TSecr=3846221198
     74 1.686317       172.16.20.51          120.24.48.119         TLSv1.2  192    Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message
     75 1.706199       120.24.48.119         172.16.20.51          TLSv1.2  117    Change Cipher Spec, Encrypted Handshake Message
     76 1.714731       172.16.20.51          120.24.48.119         TCP      66     34063 → sgcp(440) [ACK] Seq=349 Ack=1785 Win=93440 Len=0 TSval=20268023 TSecr=3846221255
     77 1.716318       172.16.20.51          120.24.48.119         TLSv1.2  218    Application Data
     78 1.736194       120.24.48.119         172.16.20.51          TLSv1.2  940    Application Data
     79 1.736200       120.24.48.119         172.16.20.51          TLSv1.2  97     Encrypted Alert
     80 1.751456       172.16.20.51          120.24.48.119         TLSv1.2  97     Encrypted Alert
     81 1.752755       172.16.20.51          120.24.48.119         TCP      66     34063 → sgcp(440) [RST, ACK] Seq=532 Ack=2691 Win=96320 Len=0 TSval=20268026 TSecr=3846221285
     82 2.136960       172.16.20.51          120.24.48.119         TCP      74     47635 → sgcp(440) [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM=1 TSval=20268065 TSecr=0 WS=64
     83 2.160508       120.24.48.119         172.16.20.51          TCP      74     sgcp(440) → 47635 [SYN, ACK] Seq=0 Ack=1 Win=28960 Len=0 MSS=1460 SACK_PERM=1 TSval=3846221706 TSecr=20268065 WS=128
     84 2.161857       172.16.20.51          120.24.48.119         TCP      66     47635 → sgcp(440) [ACK] Seq=1 Ack=1 Win=87616 Len=0 TSval=20268067 TSecr=3846221706
     85 2.167730       172.16.20.51          120.24.48.119         TLSv1.2  288    Client Hello
     86 2.192971       120.24.48.119         172.16.20.51          TCP      66     sgcp(440) → 47635 [ACK] Seq=1 Ack=223 Win=30080 Len=0 TSval=3846221737 TSecr=20268067
     87 2.194995       120.24.48.119         172.16.20.51          TLSv1.2  1514   Server Hello, Certificate
     88 2.194997       120.24.48.119         172.16.20.51          TLSv1.2  351    Server Key Exchange, Server Hello Done
     89 2.196366       172.16.20.51          120.24.48.119         TCP      66     47635 → sgcp(440) [ACK] Seq=223 Ack=1449 Win=90496 Len=0 TSval=20268071 TSecr=3846221738
     90 2.196371       172.16.20.51          120.24.48.119         TCP      66     47635 → sgcp(440) [ACK] Seq=223 Ack=1734 Win=93440 Len=0 TSval=20268071 TSecr=3846221738
     91 2.247429       172.16.20.51          120.24.48.119         TLSv1.2  192    Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message
     92 2.272126       120.24.48.119         172.16.20.51          TLSv1.2  117    Change Cipher Spec, Encrypted Handshake Message
     93 2.273262       172.16.20.51          120.24.48.119         TCP      66     47635 → sgcp(440) [ACK] Seq=349 Ack=1785 Win=93440 Len=0 TSval=20268078 TSecr=3846221817
     94 2.276219       172.16.20.51          120.24.48.119         TLSv1.2  218    Application Data
     95 2.302249       120.24.48.119         172.16.20.51          TLSv1.2  940    Application Data
     96 2.302260       120.24.48.119         172.16.20.51          TLSv1.2  97     Encrypted Alert
     97 2.320001       172.16.20.51          120.24.48.119         TLSv1.2  97     Encrypted Alert
     98 2.320002       172.16.20.51          120.24.48.119         TCP      66     47635 → sgcp(440) [RST, ACK] Seq=532 Ack=2691 Win=96320 Len=0 TSval=20268083 TSecr=3846221845
     99 2.717560       172.16.20.51          120.24.48.119         TCP      74     44640 → sgcp(440) [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM=1 TSval=20268122 TSecr=0 WS=64
    100 2.735110       120.24.48.119         172.16.20.51          TCP      74     sgcp(440) → 44640 [SYN, ACK] Seq=0 Ack=1 Win=28960 Len=0 MSS=1460 SACK_PERM=1 TSval=3846222286 TSecr=20268122 WS=128
    101 2.739324       172.16.20.51          120.24.48.119         TCP      66     44640 → sgcp(440) [ACK] Seq=1 Ack=1 Win=87616 Len=0 TSval=20268125 TSecr=3846222286
    102 2.771633       172.16.20.51          120.24.48.119         TLSv1.2  288    Client Hello
    103 2.790979       120.24.48.119         172.16.20.51          TCP      66     sgcp(440) → 44640 [ACK] Seq=1 Ack=223 Win=30080 Len=0 TSval=3846222340 TSecr=20268128
    104 2.792533       120.24.48.119         172.16.20.51          TLSv1.2  1514   Server Hello, Certificate
    105 2.792537       120.24.48.119         172.16.20.51          TLSv1.2  351    Server Key Exchange, Server Hello Done
    106 2.794009       172.16.20.51          120.24.48.119         TCP      66     44640 → sgcp(440) [ACK] Seq=223 Ack=1449 Win=90496 Len=0 TSval=20268130 TSecr=3846222342
    107 2.794011       172.16.20.51          120.24.48.119         TCP      66     44640 → sgcp(440) [ACK] Seq=223 Ack=1734 Win=93440 Len=0 TSval=20268130 TSecr=3846222342
    108 2.837662       172.16.20.51          120.24.48.119         TLSv1.2  192    Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message
    109 2.856006       120.24.48.119         172.16.20.51          TLSv1.2  117    Change Cipher Spec, Encrypted Handshake Message
